observation,0.6529477704101989,0.6454183266932271,0.6572008113590264,0.6340508806262231,0.6530214424951267
user-knn_embeddings,0,0,0,0,0
user-knn_relevance,0.5814765625,0.5589155370177269,0.5838779956427015,0.536,0.5820158102766798
user-knn_classification_best_10,0.5751328124999999,0.5734126984126984,0.5688976377952756,0.578,0.575098814229249
user-knn_classification_best_20,0.585640625,0.5711361310133061,0.5849056603773585,0.558,0.5859683794466403
user-knn_classification_best_50,0.5807109375,0.5664621676891616,0.5794979079497908,0.554,0.5810276679841897
item-knn_embeddings,0,0,0,0,0
item-knn_relevance,0,0,0,0,0
item-knn_classification_best_10,0,0,0,0,0
item-knn_classification_best_20,0,0,0,0,0
item-knn_classification_best_50,0,0,0,0,0
most-pop_embeddings,0,0,0,0,0
most-pop_relevance,0,0,0,0,0
most-pop_classification_best_10,0,0,0,0,0
most-pop_classification_best_20,0,0,0,0,0
most-pop_classification_best_50,0,0,0,0,0
bprmf_embeddings,0.47933820927214815,0.4659206510681587,0.4645030425963489,0.4673469387755102,0.4796828543111992
bprmf_relevance,0.52971875,0.5296442687747035,0.5234375,0.536,0.5296442687747036
bprmf_classification_best_10,0.5086953125,0.4974721941354904,0.5030674846625767,0.492,0.508893280632411
bprmf_classification_best_20,0.4819765625,0.46855983772819476,0.47530864197530864,0.462,0.48221343873517786
bprmf_classification_best_50,0.5453203125,0.5372233400402415,0.5404858299595142,0.534,0.5454545454545454
neumf_embeddings,0,0,0,0,0
neumf_relevance,0,0,0,0,0
neumf_classification_best_10,0,0,0,0,0
neumf_classification_best_20,0,0,0,0,0
neumf_classification_best_50,0,0,0,0,0
wrmf_embeddings,0.47831780110888283,0.46435845213849286,0.4634146341463415,0.46530612244897956,0.4786917740336967
wrmf_relevance,0.6052421875,0.5856697819314642,0.6090712742980562,0.564,0.6057312252964426
wrmf_classification_best_10,0.6168046875,0.6203522504892369,0.60727969348659,0.634,0.616600790513834
wrmf_classification_best_20,0.6073359375,0.591983556012333,0.6088794926004228,0.576,0.607707509881423
wrmf_classification_best_50,0.6092187499999999,0.5906735751295337,0.6129032258064516,0.57,0.6096837944664032
lightgcn_embeddings,0,0,0,0,0
lightgcn_relevance,0,0,0,0,0
lightgcn_classification_best_10,0,0,0,0,0
lightgcn_classification_best_20,0,0,0,0,0
lightgcn_classification_best_50,0,0,0,0,0
multidae_embeddings,0,0,0,0,0
multidae_relevance,0.5840624999999999,0.5835806132542039,0.5772994129158513,0.59,0.58399209486166
multidae_classification_best_10,0.5748515625,0.5630081300813009,0.5723140495867769,0.554,0.575098814229249
multidae_classification_best_20,0.610640625,0.6067864271457086,0.6055776892430279,0.608,0.6106719367588933
multidae_classification_best_50,0.5938281249999999,0.5894105894105893,0.5888223552894212,0.59,0.5938735177865613
