original,0.6088480963480963,0.62470862470862460.6591200466200466
PerBlur pred,0.5849261849261849,0.6057692307692307,0.6426282051282051
PerBlur avg,0.580924630924631,0.5987276612276613,0.6310606060606061
FairRecSys,0.49722962768721257,0.5069829892827139,0.5159278197825464
filtered,0.5258033738454545
