model,nDCG
bprmf,0.08453237662142625
item-knn,0.11030808110787546
most-pop,0.08696419380768247
user-knn,0.1133623393971355
lightgcn, 0.01613381139261912
multiae, 0.09886951961050039
neumf, 0.07555155984953246
wrmf, 0.10658497748231176
