model,nDCG
bprmf,0.09599986688411764
item-knn,0.13082829814481567
most-pop,0.09919695584006857
user-knn,0.13226631355865628
lightgcn, 0.0164077972559447
multidae, 0.11850907142570417
neumf, 0.08279116941908775
wrmf, 0.11835828090352712
