model,nDCG
bprmf,0.12285100412508772
item-knn,0.1756122299505545
most-pop,0.1264355037114672
user-knn,0.177099863601331
lightgcn, 0.021730767049597845
multidae, 0.16422901521996705
neumf, 0.10394889282364414
wrmf, 0.15342087419897332

