model,nDCG
bprmf,0.16264242911495833
item_knn,0.3173361350634829
lightgcn,0.0032703090525629205
most_pop,0.1660781135361846
multidae,0.12738785950455014
neumf,0.1409797063586812
user_knn,0.287507852869547
wrmf,0.22096953557588775
