model,nDCG
bprmf,0.17687624808477065
item_knn,0.3741889273752128
lightgcn,0.0010408573599489225
most_pop,0.1821679501521029
multidae,0.12318982792410631
neumf,0.14323651697699272
user_knn,0.3372197462300782
wrmf,0.2385782352402029
